Notes,Month,Month_Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Jul., 2011",2011-07,"Rifle, shotgun and larger firearm discharge",W33,10,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2011",2011-07,Discharge from other and unspecified firearms,W34,40,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2011",2011-07,Intentional self-harm by handgun discharge,X72,425,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2011",2011-07,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,290,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2011",2011-07,Intentional self-harm by other and unspecified firearm discharge,X74,1103,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2011",2011-07,Assault by handgun discharge,X93,74,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2011",2011-07,"Assault by rifle, shotgun and larger firearm discharge",X94,56,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2011",2011-07,Assault by other and unspecified firearm discharge,X95,993,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2011",2011-07,"Handgun discharge, undetermined intent",Y22,1,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2011",2011-07,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,2,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2011",2011-07,"Other and unspecified firearm discharge, undetermined intent",Y24,17,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2011",2011-07,Legal intervention involving firearm discharge,Y35.0,33,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2011",2011-08,Handgun discharge,W32,8,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2011",2011-08,"Rifle, shotgun and larger firearm discharge",W33,5,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2011",2011-08,Discharge from other and unspecified firearms,W34,38,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2011",2011-08,Intentional self-harm by handgun discharge,X72,433,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2011",2011-08,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,244,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2011",2011-08,Intentional self-harm by other and unspecified firearm discharge,X74,1093,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2011",2011-08,Assault by handgun discharge,X93,64,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2011",2011-08,"Assault by rifle, shotgun and larger firearm discharge",X94,37,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2011",2011-08,Assault by other and unspecified firearm discharge,X95,854,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2011",2011-08,"Handgun discharge, undetermined intent",Y22,3,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2011",2011-08,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,1,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2011",2011-08,"Other and unspecified firearm discharge, undetermined intent",Y24,18,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2011",2011-08,Legal intervention involving firearm discharge,Y35.0,30,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2011",2011-09,Handgun discharge,W32,4,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2011",2011-09,"Rifle, shotgun and larger firearm discharge",W33,9,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2011",2011-09,Discharge from other and unspecified firearms,W34,39,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2011",2011-09,Intentional self-harm by handgun discharge,X72,394,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2011",2011-09,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,223,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2011",2011-09,Intentional self-harm by other and unspecified firearm discharge,X74,1001,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2011",2011-09,Assault by handgun discharge,X93,68,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2011",2011-09,"Assault by rifle, shotgun and larger firearm discharge",X94,44,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2011",2011-09,Assault by other and unspecified firearm discharge,X95,831,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2011",2011-09,"Handgun discharge, undetermined intent",Y22,5,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2011",2011-09,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,3,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2011",2011-09,"Other and unspecified firearm discharge, undetermined intent",Y24,20,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2011",2011-09,Legal intervention involving firearm discharge,Y35.0,38,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2011",2011-10,Handgun discharge,W32,8,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2011",2011-10,"Rifle, shotgun and larger firearm discharge",W33,8,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2011",2011-10,Discharge from other and unspecified firearms,W34,25,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2011",2011-10,Intentional self-harm by handgun discharge,X72,408,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2011",2011-10,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,226,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2011",2011-10,Intentional self-harm by other and unspecified firearm discharge,X74,1056,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2011",2011-10,Assault by handgun discharge,X93,95,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2011",2011-10,"Assault by rifle, shotgun and larger firearm discharge",X94,45,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2011",2011-10,Assault by other and unspecified firearm discharge,X95,821,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2011",2011-10,"Handgun discharge, undetermined intent",Y22,1,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2011",2011-10,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,1,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2011",2011-10,"Other and unspecified firearm discharge, undetermined intent",Y24,12,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2011",2011-10,Legal intervention involving firearm discharge,Y35.0,42,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2011",2011-11,Handgun discharge,W32,6,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2011",2011-11,"Rifle, shotgun and larger firearm discharge",W33,14,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2011",2011-11,Discharge from other and unspecified firearms,W34,49,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2011",2011-11,Intentional self-harm by handgun discharge,X72,373,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2011",2011-11,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,250,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2011",2011-11,Intentional self-harm by other and unspecified firearm discharge,X74,931,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2011",2011-11,Assault by handgun discharge,X93,70,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2011",2011-11,"Assault by rifle, shotgun and larger firearm discharge",X94,44,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2011",2011-11,Assault by other and unspecified firearm discharge,X95,784,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2011",2011-11,"Handgun discharge, undetermined intent",Y22,5,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2011",2011-11,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,2,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2011",2011-11,"Other and unspecified firearm discharge, undetermined intent",Y24,11,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2011",2011-11,Legal intervention involving firearm discharge,Y35.0,40,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2011",2011-12,Handgun discharge,W32,6,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2011",2011-12,"Rifle, shotgun and larger firearm discharge",W33,12,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2011",2011-12,Discharge from other and unspecified firearms,W34,31,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2011",2011-12,Intentional self-harm by handgun discharge,X72,392,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2011",2011-12,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,223,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2011",2011-12,Intentional self-harm by other and unspecified firearm discharge,X74,961,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2011",2011-12,Assault by handgun discharge,X93,74,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2011",2011-12,"Assault by rifle, shotgun and larger firearm discharge",X94,51,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2011",2011-12,Assault by other and unspecified firearm discharge,X95,817,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2011",2011-12,"Handgun discharge, undetermined intent",Y22,3,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2011",2011-12,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,3,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2011",2011-12,"Other and unspecified firearm discharge, undetermined intent",Y24,17,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2011",2011-12,Legal intervention involving firearm discharge,Y35.0,48,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2012",2012-01,Handgun discharge,W32,10,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2012",2012-01,"Rifle, shotgun and larger firearm discharge",W33,5,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2012",2012-01,Discharge from other and unspecified firearms,W34,36,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2012",2012-01,Intentional self-harm by handgun discharge,X72,403,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2012",2012-01,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,265,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2012",2012-01,Intentional self-harm by other and unspecified firearm discharge,X74,1039,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2012",2012-01,Assault by handgun discharge,X93,72,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2012",2012-01,"Assault by rifle, shotgun and larger firearm discharge",X94,43,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2012",2012-01,Assault by other and unspecified firearm discharge,X95,818,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2012",2012-01,"Handgun discharge, undetermined intent",Y22,3,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2012",2012-01,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,1,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2012",2012-01,"Other and unspecified firearm discharge, undetermined intent",Y24,24,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2012",2012-01,Legal intervention involving firearm discharge,Y35.0,39,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2012",2012-02,Handgun discharge,W32,4,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2012",2012-02,"Rifle, shotgun and larger firearm discharge",W33,4,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2012",2012-02,Discharge from other and unspecified firearms,W34,37,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2012",2012-02,Intentional self-harm by handgun discharge,X72,388,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2012",2012-02,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,215,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2012",2012-02,Intentional self-harm by other and unspecified firearm discharge,X74,946,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2012",2012-02,Assault by handgun discharge,X93,50,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2012",2012-02,"Assault by rifle, shotgun and larger firearm discharge",X94,39,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2012",2012-02,Assault by other and unspecified firearm discharge,X95,628,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2012",2012-02,"Handgun discharge, undetermined intent",Y22,2,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2012",2012-02,"Other and unspecified firearm discharge, undetermined intent",Y24,12,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2012",2012-02,Legal intervention involving firearm discharge,Y35.0,32,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2012",2012-03,Handgun discharge,W32,5,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2012",2012-03,"Rifle, shotgun and larger firearm discharge",W33,5,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2012",2012-03,Discharge from other and unspecified firearms,W34,33,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2012",2012-03,Intentional self-harm by handgun discharge,X72,401,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2012",2012-03,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,233,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2012",2012-03,Intentional self-harm by other and unspecified firearm discharge,X74,1073,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2012",2012-03,Assault by handgun discharge,X93,91,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2012",2012-03,"Assault by rifle, shotgun and larger firearm discharge",X94,41,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2012",2012-03,Assault by other and unspecified firearm discharge,X95,796,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2012",2012-03,"Handgun discharge, undetermined intent",Y22,5,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2012",2012-03,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,4,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2012",2012-03,"Other and unspecified firearm discharge, undetermined intent",Y24,18,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2012",2012-03,Legal intervention involving firearm discharge,Y35.0,38,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2012",2012-04,Handgun discharge,W32,5,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2012",2012-04,"Rifle, shotgun and larger firearm discharge",W33,2,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2012",2012-04,Discharge from other and unspecified firearms,W34,23,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2012",2012-04,Intentional self-harm by handgun discharge,X72,446,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2012",2012-04,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,267,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2012",2012-04,Intentional self-harm by other and unspecified firearm discharge,X74,1032,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2012",2012-04,Assault by handgun discharge,X93,78,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2012",2012-04,"Assault by rifle, shotgun and larger firearm discharge",X94,36,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2012",2012-04,Assault by other and unspecified firearm discharge,X95,850,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2012",2012-04,"Handgun discharge, undetermined intent",Y22,2,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2012",2012-04,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,3,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2012",2012-04,"Other and unspecified firearm discharge, undetermined intent",Y24,16,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2012",2012-04,Legal intervention involving firearm discharge,Y35.0,35,Not Applicable,Not Applicable,Not Applicable
,"May, 2012",2012-05,Handgun discharge,W32,7,Not Applicable,Not Applicable,Not Applicable
,"May, 2012",2012-05,"Rifle, shotgun and larger firearm discharge",W33,3,Not Applicable,Not Applicable,Not Applicable
,"May, 2012",2012-05,Discharge from other and unspecified firearms,W34,31,Not Applicable,Not Applicable,Not Applicable
,"May, 2012",2012-05,Intentional self-harm by handgun discharge,X72,475,Not Applicable,Not Applicable,Not Applicable
,"May, 2012",2012-05,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,280,Not Applicable,Not Applicable,Not Applicable
,"May, 2012",2012-05,Intentional self-harm by other and unspecified firearm discharge,X74,1177,Not Applicable,Not Applicable,Not Applicable
,"May, 2012",2012-05,Assault by handgun discharge,X93,78,Not Applicable,Not Applicable,Not Applicable
,"May, 2012",2012-05,"Assault by rifle, shotgun and larger firearm discharge",X94,31,Not Applicable,Not Applicable,Not Applicable
,"May, 2012",2012-05,Assault by other and unspecified firearm discharge,X95,866,Not Applicable,Not Applicable,Not Applicable
,"May, 2012",2012-05,"Handgun discharge, undetermined intent",Y22,3,Not Applicable,Not Applicable,Not Applicable
,"May, 2012",2012-05,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,1,Not Applicable,Not Applicable,Not Applicable
,"May, 2012",2012-05,"Other and unspecified firearm discharge, undetermined intent",Y24,19,Not Applicable,Not Applicable,Not Applicable
,"May, 2012",2012-05,Legal intervention involving firearm discharge,Y35.0,28,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2012",2012-06,Handgun discharge,W32,4,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2012",2012-06,"Rifle, shotgun and larger firearm discharge",W33,1,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2012",2012-06,Discharge from other and unspecified firearms,W34,36,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2012",2012-06,Intentional self-harm by handgun discharge,X72,433,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2012",2012-06,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,245,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2012",2012-06,Intentional self-harm by other and unspecified firearm discharge,X74,1046,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2012",2012-06,Assault by handgun discharge,X93,69,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2012",2012-06,"Assault by rifle, shotgun and larger firearm discharge",X94,38,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2012",2012-06,Assault by other and unspecified firearm discharge,X95,888,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2012",2012-06,"Handgun discharge, undetermined intent",Y22,2,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2012",2012-06,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,1,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2012",2012-06,"Other and unspecified firearm discharge, undetermined intent",Y24,14,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2012",2012-06,Legal intervention involving firearm discharge,Y35.0,49,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2012",2012-07,Handgun discharge,W32,7,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2012",2012-07,"Rifle, shotgun and larger firearm discharge",W33,9,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2012",2012-07,Discharge from other and unspecified firearms,W34,43,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2012",2012-07,Intentional self-harm by handgun discharge,X72,453,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2012",2012-07,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,270,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2012",2012-07,Intentional self-harm by other and unspecified firearm discharge,X74,1066,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2012",2012-07,Assault by handgun discharge,X93,62,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2012",2012-07,"Assault by rifle, shotgun and larger firearm discharge",X94,52,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2012",2012-07,Assault by other and unspecified firearm discharge,X95,990,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2012",2012-07,"Handgun discharge, undetermined intent",Y22,4,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2012",2012-07,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,1,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2012",2012-07,"Other and unspecified firearm discharge, undetermined intent",Y24,13,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2012",2012-07,Legal intervention involving firearm discharge,Y35.0,56,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2012",2012-08,Handgun discharge,W32,5,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2012",2012-08,"Rifle, shotgun and larger firearm discharge",W33,7,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2012",2012-08,Discharge from other and unspecified firearms,W34,34,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2012",2012-08,Intentional self-harm by handgun discharge,X72,473,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2012",2012-08,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,265,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2012",2012-08,Intentional self-harm by other and unspecified firearm discharge,X74,1058,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2012",2012-08,Assault by handgun discharge,X93,85,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2012",2012-08,"Assault by rifle, shotgun and larger firearm discharge",X94,37,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2012",2012-08,Assault by other and unspecified firearm discharge,X95,925,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2012",2012-08,"Handgun discharge, undetermined intent",Y22,4,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2012",2012-08,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,2,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2012",2012-08,"Other and unspecified firearm discharge, undetermined intent",Y24,16,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2012",2012-08,Legal intervention involving firearm discharge,Y35.0,43,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2012",2012-09,Handgun discharge,W32,4,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2012",2012-09,"Rifle, shotgun and larger firearm discharge",W33,9,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2012",2012-09,Discharge from other and unspecified firearms,W34,26,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2012",2012-09,Intentional self-harm by handgun discharge,X72,405,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2012",2012-09,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,278,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2012",2012-09,Intentional self-harm by other and unspecified firearm discharge,X74,1034,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2012",2012-09,Assault by handgun discharge,X93,79,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2012",2012-09,"Assault by rifle, shotgun and larger firearm discharge",X94,40,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2012",2012-09,Assault by other and unspecified firearm discharge,X95,911,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2012",2012-09,"Handgun discharge, undetermined intent",Y22,1,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2012",2012-09,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,3,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2012",2012-09,"Other and unspecified firearm discharge, undetermined intent",Y24,22,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2012",2012-09,Legal intervention involving firearm discharge,Y35.0,40,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2012",2012-10,Handgun discharge,W32,8,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2012",2012-10,"Rifle, shotgun and larger firearm discharge",W33,4,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2012",2012-10,Discharge from other and unspecified firearms,W34,27,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2012",2012-10,Intentional self-harm by handgun discharge,X72,407,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2012",2012-10,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,251,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2012",2012-10,Intentional self-harm by other and unspecified firearm discharge,X74,1038,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2012",2012-10,Assault by handgun discharge,X93,66,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2012",2012-10,"Assault by rifle, shotgun and larger firearm discharge",X94,52,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2012",2012-10,Assault by other and unspecified firearm discharge,X95,828,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2012",2012-10,"Handgun discharge, undetermined intent",Y22,3,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2012",2012-10,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,2,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2012",2012-10,"Other and unspecified firearm discharge, undetermined intent",Y24,14,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2012",2012-10,Legal intervention involving firearm discharge,Y35.0,33,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2012",2012-11,Handgun discharge,W32,7,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2012",2012-11,"Rifle, shotgun and larger firearm discharge",W33,7,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2012",2012-11,Discharge from other and unspecified firearms,W34,36,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2012",2012-11,Intentional self-harm by handgun discharge,X72,405,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2012",2012-11,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,237,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2012",2012-11,Intentional self-harm by other and unspecified firearm discharge,X74,1038,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2012",2012-11,Assault by handgun discharge,X93,65,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2012",2012-11,"Assault by rifle, shotgun and larger firearm discharge",X94,40,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2012",2012-11,Assault by other and unspecified firearm discharge,X95,836,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2012",2012-11,"Handgun discharge, undetermined intent",Y22,1,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2012",2012-11,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,4,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2012",2012-11,"Other and unspecified firearm discharge, undetermined intent",Y24,16,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2012",2012-11,Legal intervention involving firearm discharge,Y35.0,37,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2012",2012-12,Handgun discharge,W32,3,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2012",2012-12,"Rifle, shotgun and larger firearm discharge",W33,11,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2012",2012-12,Discharge from other and unspecified firearms,W34,50,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2012",2012-12,Intentional self-harm by handgun discharge,X72,390,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2012",2012-12,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,206,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2012",2012-12,Intentional self-harm by other and unspecified firearm discharge,X74,1028,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2012",2012-12,Assault by handgun discharge,X93,77,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2012",2012-12,"Assault by rifle, shotgun and larger firearm discharge",X94,40,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2012",2012-12,Assault by other and unspecified firearm discharge,X95,925,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2012",2012-12,"Handgun discharge, undetermined intent",Y22,2,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2012",2012-12,"Rifle, shotgun and larger firearm discharge, undetermined intent",Y23,1,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2012",2012-12,"Other and unspecified firearm discharge, undetermined intent",Y24,17,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2012",2012-12,Legal intervention involving firearm discharge,Y35.0,41,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2013",2013-01,Handgun discharge,W32,7,Not Applicable,Not Applicable,Not Applicable
